ID,Paper ID,Title,Track,pdf link,Authors
68,HU140,Resolving Misconceptions about the Plans of Agents via Theory of Mind,[ICAPS-22] Human-Aware Planning and Scheduling Track Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19862/19621,"Maayan Shvo, Toryn Q. Klassen, Sheila McIlraith"
69,HU153,Conflict-Based Search for Explainable Multi-Agent Path Finding,[ICAPS-22] Human-Aware Planning and Scheduling Track Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19859/19618,"Justin Kottinger, Shaull Almagor, Morteza Lahijanian"
70,HU192,Explaining Preference-Driven Schedules: The EXPRES Framework,[ICAPS-22] Human-Aware Planning and Scheduling Track Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19861/19620,"Alberto Pozanco, Francesca Mosca, Parisa Zehtabi, Daniele Magazzeni, Sarit Kraus"
71,HU255,Actor-Focused Interactive Visualization for AI Planning,[ICAPS-22] Human-Aware Planning and Scheduling Track Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19857/19616,"Gabriel Cantareira, Gerard Canal, Rita Borgo"
65,HU7,Anxiety-Sensitive Planning: From Formal Foundations to Algorithms and Applications,[ICAPS-22] Human-Aware Planning and Scheduling Track Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19863/19622,"Loïs Vanhée, Laurent Jeanpierre, Mouaddib Abdel-Illah"
66,HU79,A Network Flow Interpretation of Robust Goal Legibility in Path Finding,[ICAPS-22] Human-Aware Planning and Scheduling Track Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19856/19615,"Sara Bernardini, Fabio Fagnani, Santiago Franco, Alexandra Neacsu"
67,HU97,VizXP: A Visualization Framework for Conveying Explanations to Users in Model Reconciliation Problems,[ICAPS-22] Human-Aware Planning and Scheduling Track Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19860/19619,"Ashwin Kumar, Stylianos Loukas Vasileiou, Melanie Bancilhon, Alvitta Ottley, William Yeoh"
85,HUS127,Evaluating Plan-Property Dependencies: A Web-Based Platform and User Study,[ICAPS-22] Human-Aware Planning and Scheduling Track Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19858/19617,"Rebecca Eifler, Martim Brandao, Amanda Coles, Jeremy Frank, Joerg Hoffmann"
43,IND102,An End-to-End Automatic Cache Replacement Policy Using Deep Reinforcement Learning,[ICAPS-22] Industry and Applications Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19840/19599,"Yang Zhou, Wang Fang, Shi Zhan, Feng Dan"
44,IND130,Joint Pricing and Matching for City-Scale Ride-Pooling,[ICAPS-22] Industry and Applications Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19836/19595,"Sanket Shah, Meghna Lowalekar, Pradeep Varakantham"
45,IND136,Talking Trucks: Decentralized Collaborative Multi-Agent Order Scheduling for Self-Organizing Logistics,[ICAPS-22] Industry and Applications Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19834/19593,"Geert Leonardus Johannes Pingen, Christian Rijk van Ommeren, Cornelis Jan van Leeuwen, Ruben Fransen, Tijmen Elfrink, Yorick Christiaan de Vries, Janarthanan Karunakaran, Emir Demirović, Neil Yorke-Smith"
46,IND151,Reinforcement Learning Approach to Solve Dynamic Bi-objective Police Patrol Dispatching and Rescheduling Problem,[ICAPS-22] Industry and Applications Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19831/19590,"Waldy Joe, Hoong Chuin Lau, Jonathan Pan"
47,IND170,Stochastic Resource Optimization over Heterogeneous Graph Neural Networks for Failure-Predictive Maintenance Scheduling,[ICAPS-22] Industry and Applications Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19839/19598,"Zheyuan Wang, Matthew Gombolay"
48,IND196,Building Resource-Dependent Conditional Plans for an Earth Monitoring Satellite,[ICAPS-22] Industry and Applications Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19835/19594,"Cédric Pralet, David Doose, Julien Anxionnat, Jérémie Pouly"
49,IND202,Hyper-Heuristics for Personnel Scheduling Domains,[ICAPS-22] Industry and Applications Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19832/19591,"Lucas Kletzander, Nysret Musliu"
50,IND222,OFFICERS: Operational Framework for Intelligent Crime-and-Emergency Response Scheduling,[ICAPS-22] Industry and Applications Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19830/19589,"Jonathan Chase, Siong Thye Goh, Phong Tran, Hoong Chuin Lau"
51,IND321,RADAR-X: An Interactive Mixed Initiative Planning Interface Pairing Contrastive Explanations and Revised Plan Suggestions,[ICAPS-22] Industry and Applications Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19837/19596,"Karthik Valmeekam, Sarath Sreedharan, Sailik Sengupta, Subbarao Kambhampati"
52,IND323,"Analyzing the Efficacy of Flexible Execution, Replanning, and Plan Optimization for a Planetary Lander",[ICAPS-22] Industry and Applications Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19838/19597,"Daniel Wang, Joseph Russino, Connor Basich, Steve Chien"
53,IND347,Planning Satellite Swarm Measurements for Earth Science Models: Comparing Constraint Processing and MILP Methods,[ICAPS-22] Industry and Applications Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19833/19592,"Richard Levinson, Samantha Niemoeller, Sreeja Nag, Vinay Ravindra"
42,IND53,Deep Reinforcement Learning for a Multi-Objective Online Order Batching Problem,[ICAPS-22] Industry and Applications Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19829/19588,"Martijn Beeks, Reza Refaei Afshar, Yingqian Zhang, Remco Dijkman, Claudy van Dorst, Stijn de Looijer"
2,MT10,Learning to Estimate Search Progress Using Sequence of States,[ICAPS-22] Main Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19821/19580,"Matan Sudry, Erez Karpas"
15,MT106,Improving Time-Dependent Contraction Hierarchies,[ICAPS-22] Main Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19818/19577,"Bojie Shen, Muhammad Aamir Cheema, Daniel D. Harabor, Peter J. Stuckey"
16,MT113,Debugging a Policy: Automatic Action-Policy Testing in AI Planning,[ICAPS-22] Main Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19820/19579,"Marcel Steinmetz, Daniel Fišer, Hasan Ferit Enişer, Patrick Ferber, Timo Gros, Philippe Heim, Daniel Höller, Xandra Schuler, Valentin Wüstholz, Maria Christakis, Joerg Hoffmann"
17,MT116,Merge and Shrink Abstractions for Temporal Planning,[ICAPS-22] Main Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19781/19540,"Martim Brandao, Amanda Coles, Andrew Coles, Joerg Hoffmann"
18,MT125,Crossword Puzzle Resolution via Monte Carlo Tree Search,[ICAPS-22] Main Track,https://ojs.aaai.org/index.php/ICAPS/article/view/19783/19542,"Lihan Chen, Jingping Liu, Sihang Jiang, Chao Wang, Jiaqing Liang, Yanghua Xiao, Sheng Zhang, Rui Song"
