Slot,Time,Day,Weekday,Type,Session1,Session2,Session1_title,Session2_title,Session1_papers,Session2_papers
0,6,1,Tuesday 21,Joint,Opening (start: +30min),Opening (start: +30min),,,,
1,7,1,Tuesday 21,Joint,Invited Talk: Malte Helmert,helmert,,,,
2,8,1,Tuesday 21,Joint,Social: Get Together,Social: Get Together,,,,
3,9,1,Tuesday 21,Single,1a,1b,Planning Representations and Scheduling,Verification,"2, 77, 257","44, 113, 368"
4,10,1,Tuesday 21,Single,2a,2b,Reinforcement Learning,Heuristics in Classical Planning,"53, 151, 158","195, 208, 225"
5,11,1,Tuesday 21,Joint,Poster and Demo Session,Poster and Demo Session,,,,
6,12,1,Tuesday 21,Empty,None,None,,,,
7,13,1,Tuesday 21,Single,3a,3b,Model-Based Reasoning in Classical Planning,Learning in Scheduling Applications,"33, 55, 64","170, 222, 232"
8,14,1,Tuesday 21,Single,4a,4b,Search,Optimal Planning,"54, 128, 184","78, 96, 229"
9,15,1,Tuesday 21,Joint,Career Development Panel,career,,,,
10,16,1,Tuesday 21,Single,5a,5b,Problem Reformulation,Heuristics and Heuristic Search,"1, 65, 79","201, 240, 262"
11,17,1,Tuesday 21,Single,6a,6b,Multi-Agent Path Finding,Deep Learning,"38, 153, 308","10, 66, 102"
12,18,1,Tuesday 21,Joint,Poster and Demo Session,Poster and Demo Session,,,,
13,19,1,Tuesday 21,Empty,None,None,,,,
14,20,1,Tuesday 21,Single,7a,7b,Probabilistic Planning,Multi-Agent Planning and Scheduling,"7, 62, 154","35, 136, 209"
15,21,1,Tuesday 21,Joint,Social: Speed Gathering,speed,,,,
16,22,1,Tuesday 21,Single,8a,8b,Hierarchical Task Networks,Rewards in Reinforcement Learning,"49, 187, 323","212, 314, 373"
17,23,1,Tuesday 21,Joint,Invited Talk: Sven Koenig,koenig,,,,
18,24,1,Tuesday 21,Joint,Social: Games,games,,,,
0,6,2,Wednesday 22,Empty,None,None,,,,
1,7,2,Wednesday 22,Single,9a,9b,Search,Multi-Agent Planning,"125, 128, 262","78, 96, 209"
2,8,2,Wednesday 22,Joint,Social: Get Together,Social: Get Together,,,,
3,9,2,Wednesday 22,Single,10a,10b,Goal and Plan Recognition,Scheduling Applications,"1, 79, 369","202, 222, 233"
